Date: 2019-12-23 15:04:05.8889 , LoggerName: Tieto.TSU.Performance.DataService.WebApiApplication , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: Trace entry using Tieto.TSU.Performance.DataService -> Application_Start , 
Date: 2019-12-23 15:04:08.5350 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/: Correlation ID not set, using generated 3983f32d-c8bc-46eb-8896-00b6714877d3 , 
Date: 2019-12-23 15:04:09.1231 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/index: Correlation ID not set, using generated 1406b50d-dd03-476b-b0e9-fb11e5d3a3c4 , 
Date: 2019-12-23 15:04:09.1841 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/typography-css: Correlation ID not set, using generated fb6a17a1-f529-4de1-9314-a40b7892ccb0 , 
Date: 2019-12-23 15:04:09.1841 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/reset-css: Correlation ID not set, using generated 72346676-14e9-4a01-83cb-cd055e392812 , 
Date: 2019-12-23 15:04:09.1841 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/screen-css: Correlation ID not set, using generated 4d465846-bf01-41c9-aa63-1d4df5f207b9 , 
Date: 2019-12-23 15:04:09.1841 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/print-css: Correlation ID not set, using generated 703698ca-6dda-40e2-8028-79ce2e1f4e89 , 
Date: 2019-12-23 15:04:09.1951 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/ext/Tieto-TSU-Performance-DataService-Content-SwaggerCustom-css: Correlation ID not set, using generated 318c5635-9548-4c72-9024-467d325dc634 , 
Date: 2019-12-23 15:04:09.1951 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/object-assign-pollyfill-js: Correlation ID not set, using generated 3fb44aff-24b9-49ed-81eb-a3525c890e07 , 
Date: 2019-12-23 15:04:09.2151 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-1-8-0-min-js: Correlation ID not set, using generated f7f69c27-9f11-4935-9d8a-1d280a31987e , 
Date: 2019-12-23 15:04:09.2151 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-wiggle-min-js: Correlation ID not set, using generated 2b8c6362-e26b-4559-8533-2ad0f0b3d0d5 , 
Date: 2019-12-23 15:04:09.3831 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-ba-bbq-min-js: Correlation ID not set, using generated 70bacd29-0969-4124-bbad-1dcb925c82f0 , 
Date: 2019-12-23 15:04:09.3831 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-slideto-min-js: Correlation ID not set, using generated 3c3dad64-e039-40db-8509-d6d1630ef656 , 
Date: 2019-12-23 15:04:09.3831 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/backbone-min-js: Correlation ID not set, using generated 56dd5a79-4994-4319-84e1-bbcc976b82e6 , 
Date: 2019-12-23 15:04:09.3831 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/swagger-ui-min-js: Correlation ID not set, using generated cb948dba-9460-46df-839e-ce9d71be7fca , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/lodash-min-js: Correlation ID not set, using generated c7c7e156-0fca-4c15-b1bf-d676e299b810 , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/handlebars-4-0-5-js: Correlation ID not set, using generated 85530c19-aee2-4bfb-9f92-d42ae2edc63c , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jsoneditor-min-js: Correlation ID not set, using generated 420a82ec-1274-44be-838d-b31b40e9bdf3 , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/highlight-9-1-0-pack_extended-js: Correlation ID not set, using generated 7b767584-0814-4e8d-bf2a-357ab6d05760 , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/highlight-9-1-0-pack-js: Correlation ID not set, using generated df85b557-b9da-4cce-aab3-de8c5369fc74 , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/marked-js: Correlation ID not set, using generated 4c6fed66-8ab8-4fa3-a707-62371c1e5f68 , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/swagger-oauth-js: Correlation ID not set, using generated 6241ebbb-a2ae-47de-a020-adc99867d380 , 
Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/logo_small-png: Correlation ID not set, using generated 28d35d18-8d37-48b3-9d19-3d9e3e53f35c , 
Date: 2019-12-23 15:04:09.6021 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/docs/v1: Correlation ID not set, using generated f96b5b15-96cb-4119-a5d4-e638d68fb1d7 , 
Date: 2019-12-23 15:04:09.6211 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/favicon-32x32-png: Correlation ID not set, using generated 4e687380-7419-404b-a281-4c01c08076e3 , 
Date: 2019-12-23 15:04:12.0690 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/throbber-gif: Correlation ID not set, using generated 1d1c4464-006e-4a47-858d-fde942c6a839 , 
Date: 2019-12-23 15:04:14.1094 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 87a7ef07-48fe-4663-9e2f-83db6ba54368 , 
Date: 2019-12-23 15:05:18.8615 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 45301cee-6035-4702-bec9-5793ef508ad3 , 
Date: 2019-12-23 15:05:29.3381 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated e41f645f-78fe-418c-9bf2-b939df1e54ae , 
