Date: 2019-12-23 15:24:41.5605 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:29:46.8014 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:36:28.4019 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:39:39.0757 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:39:39.0757 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:39:40.7228 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:39:42.6427 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 18:39:43.4211 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 19:13:39.8317 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 19:15:18.5140 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 19:15:18.8316 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 19:15:19.3180 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 19:15:19.7904 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
Date: 2019-12-23 19:20:43.8880 , LoggerName: ConfigurationClient , LogLevel: WARN , ApplicationName: Datatest , LogMessage: DatabaseConnectionString-Datatest : configuration key not found , 
